date,duree,taux,type_taux,source
2006-08-01,fixation > 10 ans,3.96,moyen,banque_de_france_mir
2006-09-01,fixation > 10 ans,4.04,moyen,banque_de_france_mir
2006-10-01,fixation > 10 ans,4.08,moyen,banque_de_france_mir
2006-11-01,fixation > 10 ans,4.09,moyen,banque_de_france_mir
2006-12-01,fixation > 10 ans,4.1,moyen,banque_de_france_mir
2007-01-01,fixation > 10 ans,4.09,moyen,banque_de_france_mir
2007-02-01,fixation > 10 ans,4.13,moyen,banque_de_france_mir
2007-03-01,fixation > 10 ans,4.15,moyen,banque_de_france_mir
2007-04-01,fixation > 10 ans,4.17,moyen,banque_de_france_mir
2007-05-01,fixation > 10 ans,4.19,moyen,banque_de_france_mir
2007-06-01,fixation > 10 ans,4.24,moyen,banque_de_france_mir
2007-07-01,fixation > 10 ans,4.36,moyen,banque_de_france_mir
2007-08-01,fixation > 10 ans,4.48,moyen,banque_de_france_mir
2007-09-01,fixation > 10 ans,4.58,moyen,banque_de_france_mir
2007-10-01,fixation > 10 ans,4.68,moyen,banque_de_france_mir
2007-11-01,fixation > 10 ans,4.78,moyen,banque_de_france_mir
2007-12-01,fixation > 10 ans,4.83,moyen,banque_de_france_mir
2008-01-01,fixation > 10 ans,4.86,moyen,banque_de_france_mir
2008-02-01,fixation > 10 ans,4.89,moyen,banque_de_france_mir
2008-03-01,fixation > 10 ans,4.89,moyen,banque_de_france_mir
2008-04-01,fixation > 10 ans,4.89,moyen,banque_de_france_mir
2008-05-01,fixation > 10 ans,4.88,moyen,banque_de_france_mir
2008-06-01,fixation > 10 ans,4.88,moyen,banque_de_france_mir
2008-07-01,fixation > 10 ans,4.99,moyen,banque_de_france_mir
2008-08-01,fixation > 10 ans,5.05,moyen,banque_de_france_mir
2008-09-01,fixation > 10 ans,5.18,moyen,banque_de_france_mir
2008-10-01,fixation > 10 ans,5.23,moyen,banque_de_france_mir
2008-11-01,fixation > 10 ans,5.27,moyen,banque_de_france_mir
2008-12-01,fixation > 10 ans,5.33,moyen,banque_de_france_mir
2009-01-01,fixation > 10 ans,5.22,moyen,banque_de_france_mir
2009-02-01,fixation > 10 ans,5.04,moyen,banque_de_france_mir
2009-03-01,fixation > 10 ans,4.84,moyen,banque_de_france_mir
2009-04-01,fixation > 10 ans,4.68,moyen,banque_de_france_mir
2009-05-01,fixation > 10 ans,4.47,moyen,banque_de_france_mir
2009-06-01,fixation > 10 ans,4.41,moyen,banque_de_france_mir
2009-07-01,fixation > 10 ans,4.33,moyen,banque_de_france_mir
2009-08-01,fixation > 10 ans,4.29,moyen,banque_de_france_mir
2009-09-01,fixation > 10 ans,4.28,moyen,banque_de_france_mir
2009-10-01,fixation > 10 ans,4.2,moyen,banque_de_france_mir
2009-11-01,fixation > 10 ans,4.13,moyen,banque_de_france_mir
2009-12-01,fixation > 10 ans,4.04,moyen,banque_de_france_mir
2010-01-01,fixation > 10 ans,4.01,moyen,banque_de_france_mir
2010-02-01,fixation > 10 ans,3.98,moyen,banque_de_france_mir
2010-03-01,fixation > 10 ans,3.95,moyen,banque_de_france_mir
2010-04-01,fixation > 10 ans,3.88,moyen,banque_de_france_mir
2010-05-01,fixation > 10 ans,3.84,moyen,banque_de_france_mir
2010-06-01,fixation > 10 ans,3.81,moyen,banque_de_france_mir
2010-07-01,fixation > 10 ans,3.77,moyen,banque_de_france_mir
2010-08-01,fixation > 10 ans,3.7,moyen,banque_de_france_mir
2010-09-01,fixation > 10 ans,3.68,moyen,banque_de_france_mir
2010-10-01,fixation > 10 ans,3.6,moyen,banque_de_france_mir
2010-11-01,fixation > 10 ans,3.58,moyen,banque_de_france_mir
2010-12-01,fixation > 10 ans,3.54,moyen,banque_de_france_mir
2011-01-01,fixation > 10 ans,3.6,moyen,banque_de_france_mir
2011-02-01,fixation > 10 ans,3.67,moyen,banque_de_france_mir
2011-03-01,fixation > 10 ans,3.77,moyen,banque_de_france_mir
2011-04-01,fixation > 10 ans,3.85,moyen,banque_de_france_mir
2011-05-01,fixation > 10 ans,3.94,moyen,banque_de_france_mir
2011-06-01,fixation > 10 ans,4.01,moyen,banque_de_france_mir
2011-07-01,fixation > 10 ans,4.05,moyen,banque_de_france_mir
2011-08-01,fixation > 10 ans,4.09,moyen,banque_de_france_mir
2011-09-01,fixation > 10 ans,4.1,moyen,banque_de_france_mir
2011-10-01,fixation > 10 ans,4.07,moyen,banque_de_france_mir
2011-11-01,fixation > 10 ans,4.09,moyen,banque_de_france_mir
2011-12-01,fixation > 10 ans,4.07,moyen,banque_de_france_mir
2012-01-01,fixation > 10 ans,4.12,moyen,banque_de_france_mir
2012-02-01,fixation > 10 ans,4.17,moyen,banque_de_france_mir
2012-03-01,fixation > 10 ans,4.16,moyen,banque_de_france_mir
2012-04-01,fixation > 10 ans,4.09,moyen,banque_de_france_mir
2012-05-01,fixation > 10 ans,4.04,moyen,banque_de_france_mir
2012-06-01,fixation > 10 ans,3.96,moyen,banque_de_france_mir
2012-07-01,fixation > 10 ans,3.87,moyen,banque_de_france_mir
2012-08-01,fixation > 10 ans,3.8,moyen,banque_de_france_mir
2012-09-01,fixation > 10 ans,3.74,moyen,banque_de_france_mir
2012-10-01,fixation > 10 ans,3.66,moyen,banque_de_france_mir
2012-11-01,fixation > 10 ans,3.57,moyen,banque_de_france_mir
2012-12-01,fixation > 10 ans,3.52,moyen,banque_de_france_mir
2013-01-01,fixation > 10 ans,3.43,moyen,banque_de_france_mir
2013-02-01,fixation > 10 ans,3.43,moyen,banque_de_france_mir
2013-03-01,fixation > 10 ans,3.38,moyen,banque_de_france_mir
2013-04-01,fixation > 10 ans,3.35,moyen,banque_de_france_mir
2013-05-01,fixation > 10 ans,3.3,moyen,banque_de_france_mir
2013-06-01,fixation > 10 ans,3.24,moyen,banque_de_france_mir
2013-07-01,fixation > 10 ans,3.2,moyen,banque_de_france_mir
2013-08-01,fixation > 10 ans,3.19,moyen,banque_de_france_mir
2013-09-01,fixation > 10 ans,3.2,moyen,banque_de_france_mir
2013-10-01,fixation > 10 ans,3.2,moyen,banque_de_france_mir
2013-11-01,fixation > 10 ans,3.28,moyen,banque_de_france_mir
2013-12-01,fixation > 10 ans,3.28,moyen,banque_de_france_mir
2014-01-01,fixation > 10 ans,3.3,moyen,banque_de_france_mir
2014-02-01,fixation > 10 ans,3.29,moyen,banque_de_france_mir
2014-03-01,fixation > 10 ans,3.28,moyen,banque_de_france_mir
2014-04-01,fixation > 10 ans,3.24,moyen,banque_de_france_mir
2014-05-01,fixation > 10 ans,3.17,moyen,banque_de_france_mir
2014-06-01,fixation > 10 ans,3.11,moyen,banque_de_france_mir
2014-07-01,fixation > 10 ans,3.02,moyen,banque_de_france_mir
2014-08-01,fixation > 10 ans,2.95,moyen,banque_de_france_mir
2014-09-01,fixation > 10 ans,2.9,moyen,banque_de_france_mir
2014-10-01,fixation > 10 ans,2.82,moyen,banque_de_france_mir
2014-11-01,fixation > 10 ans,2.75,moyen,banque_de_france_mir
2014-12-01,fixation > 10 ans,2.66,moyen,banque_de_france_mir
2015-01-01,fixation > 10 ans,2.62,moyen,banque_de_france_mir
2015-02-01,fixation > 10 ans,2.57,moyen,banque_de_france_mir
2015-03-01,fixation > 10 ans,2.48,moyen,banque_de_france_mir
2015-04-01,fixation > 10 ans,2.38,moyen,banque_de_france_mir
2015-05-01,fixation > 10 ans,2.3,moyen,banque_de_france_mir
2015-06-01,fixation > 10 ans,2.22,moyen,banque_de_france_mir
2015-07-01,fixation > 10 ans,2.19,moyen,banque_de_france_mir
2015-08-01,fixation > 10 ans,2.22,moyen,banque_de_france_mir
2015-09-01,fixation > 10 ans,2.27,moyen,banque_de_france_mir
2015-10-01,fixation > 10 ans,2.31,moyen,banque_de_france_mir
2015-11-01,fixation > 10 ans,2.4,moyen,banque_de_france_mir
